127.0.0.1 [12/Jun/2014:15:25:35 +0000][224 ms] "GET /travel/apps/bundles/i18n.zip HTTP/1.1" 200 21956 [tomcat-http--19]
127.0.0.1 [12/Jun/2014:15:25:35 +0000][213 ms] "GET /workitem-service/api/bundles/i18n.zip HTTP/1.1" 200 4127 [tomcat-http--20]
127.0.0.1 [12/Jun/2014:15:25:35 +0000][404 ms] "GET /component-registry/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1 HTTP/1.1" 200 4673 [tomcat-http--15]
127.0.0.1 [12/Jun/2014:15:25:35 +0000][89 ms] "GET /component-registry/services/01a2efcd-d384-43c3-92c5-0777f818c145/endpoints/com.vmware.csp.core.cafe.service.registry.status HTTP/1.1" 200 542 [tomcat-http--16]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][11 ms] "GET /notification-service/api/status HTTP/1.1" 200 1448 [tomcat-http--22]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][112 ms] "GET /component-registry/services/?page=1&limit=2147483647&$filter=serviceType/serviceTypeId%20eq%20'com.vmware.csp.core.cafe.workitem'%20and%20ownerId%20eq%20'cafe-58141ba4-0742-401d-8176-3cc9d1264960' HTTP/1.1" 200 477 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][67 ms] "GET /component-registry/services/types/com.vmware.csp.component.management.service/endpoints/com.vmware.csp.core.cafe.service.resource.bundle?page=1&limit=1 HTTP/1.1" 200 499 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][36 ms] "GET /component-registry/endpoints/79571eb4-79b9-41b3-8be1-03ee44728a09 HTTP/1.1" 200 550 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][111 ms] "GET /component-registry/services/7e5e56a0-ea19-4d0a-9d76-d4d3a171b7f1 HTTP/1.1" 200 4673 [tomcat-http--10]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][766 ms] "GET /management-service/api/bundles/i18n.zip HTTP/1.1" 200 14139 [tomcat-http--21]
127.0.0.1 [12/Jun/2014:15:25:36 +0000][685 ms] "PUT /notification-service/api/notifications/scenarios/com.vmware.cafe.reclamation.workItem HTTP/1.1" 201 - [tomcat-http--2]
127.0.0.1 [12/Jun/2014:15:25:37 +0000][254 ms] "GET /management-service/api/bundles/i18n.zip HTTP/1.1" 200 14139 [tomcat-http--14]
